,age,bmi,grade,q13,q18,q25,q26,q47,q57,qnowt,race4,sex,sitecode,year,q70,q50,q15,q16,q17,q67,q68,q23,q51,q53,q32,q69,q46,q19,q12,q8,q9,q41,q40,q27,carRiskScore
387614,4.0,21.4696859,2.0,,,2.0,2.0,2.0,,,3.0,,CE,2017,,,1.0,1.0,3.0,,,2.0,,,2.0,,4.0,,1.0,3.0,2.0,2.0,3.0,,157.89473684210526
387615,4.0,,,,,2.0,2.0,1.0,2.0,,3.0,,CE,2017,1.0,,1.0,1.0,1.0,4.0,1.0,2.0,,,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,5.0,,26.31578947368421
387616,4.0,20.70122688,2.0,,,,,,1.0,,,,CE,2017,,,4.0,3.0,2.0,1.0,1.0,,,,,,2.0,,,4.0,5.0,4.0,5.0,,815.7894736842105
387617,4.0,21.47456129,,,,2.0,2.0,1.0,2.0,,,,CE,2017,5.0,,1.0,1.0,2.0,3.0,4.0,2.0,,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,,78.94736842105263
387618,5.0,92.63137357,1.0,,,1.0,2.0,6.0,,,,,CE,2017,4.0,,1.0,5.0,3.0,4.0,,,,,4.0,7.0,3.0,1.0,,2.0,5.0,,5.0,,552.6315789473684
387619,5.0,20.16049383,,,,2.0,2.0,1.0,2.0,,4.0,,CE,2017,1.0,,1.0,1.0,1.0,3.0,4.0,2.0,,,1.0,,1.0,2.0,1.0,4.0,1.0,1.0,,,26.31578947368421
387624,7.0,28.42754085,1.0,,,2.0,2.0,5.0,1.0,,3.0,,CE,2017,3.0,,1.0,1.0,1.0,1.0,3.0,2.0,,,1.0,4.0,2.0,2.0,1.0,5.0,5.0,5.0,2.0,,368.4210526315789
387625,,21.03114187,4.0,,,2.0,2.0,5.0,2.0,,3.0,2.0,CE,2017,3.0,,1.0,4.0,3.0,3.0,4.0,2.0,,,1.0,3.0,4.0,2.0,5.0,5.0,1.0,1.0,1.0,,0.0
387626,,22.32506887,4.0,,,1.0,2.0,1.0,2.0,,2.0,2.0,CE,2017,2.0,,1.0,1.0,1.0,3.0,3.0,2.0,,,1.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,,131.57894736842104
387627,,23.85813149,4.0,,,2.0,2.0,,,,4.0,2.0,CE,2017,,,1.0,1.0,1.0,,,2.0,,,1.0,,,2.0,1.0,5.0,1.0,1.0,1.0,,0.0
387628,,27.96493791,4.0,,,2.0,2.0,3.0,2.0,,2.0,2.0,CE,2017,2.0,,1.0,1.0,2.0,4.0,1.0,1.0,,,1.0,2.0,6.0,2.0,3.0,1.0,1.0,2.0,6.0,,263.1578947368421
387629,,27.22386455,4.0,,,2.0,2.0,1.0,2.0,,2.0,2.0,CE,2017,7.0,,1.0,1.0,3.0,3.0,3.0,2.0,,,1.0,7.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,,0.0
387630,1.0,25.65656566,2.0,,,2.0,2.0,1.0,2.0,2.0,3.0,2.0,CE,2017,2.0,,1.0,1.0,4.0,3.0,2.0,2.0,,,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,131.57894736842104
387631,1.0,27.05180738,1.0,,,2.0,2.0,1.0,2.0,2.0,3.0,2.0,CE,2017,,,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,,0.0
